Freq.	V(vd)
7.24435960074986e+02	(-1.82801132976993e+00dB,-1.79986055972058e+02°)
7.41310241300914e+02	(-1.82801129159399e+00dB,-1.79986373376787e+02°)
7.58577575029180e+02	(-1.82801125513625e+00dB,-1.79986683556515e+02°)
7.76247116628688e+02	(-1.82801122031938e+00dB,-1.79986986675708e+02°)
7.94328234724277e+02	(-1.82801118706953e+00dB,-1.79987282895032e+02°)
8.12830516164095e+02	(-1.82801115531616e+00dB,-1.79987572371606e+02°)
8.31763771102666e+02	(-1.82801112499193e+00dB,-1.79987855258919e+02°)
8.51138038202372e+02	(-1.82801109603251e+00dB,-1.79988131706894e+02°)
8.70963589956076e+02	(-1.82801106837649e+00dB,-1.79988401862162e+02°)
8.91250938133741e+02	(-1.82801104196519e+00dB,-1.79988665867988e+02°)
9.12010839355905e+02	(-1.82801101674259e+00dB,-1.79988923864247e+02°)
9.33254300796986e+02	(-1.82801099265520e+00dB,-1.79989175987864e+02°)
9.54992586021431e+02	(-1.82801096965193e+00dB,-1.79989422372404e+02°)
9.77237220955805e+02	(-1.82801094768395e+00dB,-1.79989663148552e+02°)
9.99999999999994e+02	(-1.82801092670471e+00dB,-1.79989898443972e+02°)
1.02329299228075e+03	(-1.82801090666970e+00dB,-1.79990128383422e+02°)
1.04712854805089e+03	(-1.82801088753640e+00dB,-1.79990353088832e+02°)
1.07151930523760e+03	(-1.82801086926424e+00dB,-1.79990572679286e+02°)
1.09647819614318e+03	(-1.82801085181446e+00dB,-1.79990787271269e+02°)
1.12201845430196e+03	(-1.82801083515005e+00dB,-1.79990996978565e+02°)
1.14815362149688e+03	(-1.82801081923567e+00dB,-1.79991201912316e+02°)
1.17489755493952e+03	(-1.82801080403757e+00dB,-1.79991402181227e+02°)
1.20226443461741e+03	(-1.82801078952347e+00dB,-1.79991597891451e+02°)
1.23026877081237e+03	(-1.82801077566261e+00dB,-1.79991789146787e+02°)
1.25892541179416e+03	(-1.82801076242561e+00dB,-1.79991976048560e+02°)
1.28824955169313e+03	(-1.82801074978437e+00dB,-1.79992158696043e+02°)
1.31825673855640e+03	(-1.82801073771207e+00dB,-1.79992337185888e+02°)
1.34896288259165e+03	(-1.82801072618312e+00dB,-1.79992511612765e+02°)
1.38038426460288e+03	(-1.82801071517306e+00dB,-1.79992682069282e+02°)
1.41253754462275e+03	(-1.82801070465853e+00dB,-1.79992848645687e+02°)
1.44543977074592e+03	(-1.82801069461723e+00dB,-1.79993011430322e+02°)
1.47910838816820e+03	(-1.82801068502786e+00dB,-1.79993170509584e+02°)
1.51356124843620e+03	(-1.82801067587009e+00dB,-1.79993325967799e+02°)
1.54881661891247e+03	(-1.82801066712448e+00dB,-1.79993477887364e+02°)
1.58489319246110e+03	(-1.82801065877251e+00dB,-1.79993626348749e+02°)
1.62181009735892e+03	(-1.82801065079641e+00dB,-1.79993771430722e+02°)
1.65958690743755e+03	(-1.82801064317931e+00dB,-1.79993913210266e+02°)
1.69824365246173e+03	(-1.82801063590503e+00dB,-1.79994051762532e+02°)
1.73780082874936e+03	(-1.82801062895815e+00dB,-1.79994187160885e+02°)
1.77827941003891e+03	(-1.82801062232394e+00dB,-1.79994319477305e+02°)
1.81970085860997e+03	(-1.82801061598831e+00dB,-1.79994448781760e+02°)
1.86208713666286e+03	(-1.82801060993781e+00dB,-1.79994575142872e+02°)
1.90546071796323e+03	(-1.82801060415966e+00dB,-1.79994698627691e+02°)
1.94984459975803e+03	(-1.82801059864155e+00dB,-1.79994819301646e+02°)
1.99526231496887e+03	(-1.82801059337181e+00dB,-1.79994937228759e+02°)
2.04173794466952e+03	(-1.82801058833924e+00dB,-1.79995052471510e+02°)
2.08929613085403e+03	(-1.82801058353317e+00dB,-1.79995165090959e+02°)
2.13796208950222e+03	(-1.82801057894342e+00dB,-1.79995275146963e+02°)
2.18776162394954e+03	(-1.82801057456022e+00dB,-1.79995382697764e+02°)
2.23872113856832e+03	(-1.82801057037432e+00dB,-1.79995487800383e+02°)
2.29086765276776e+03	(-1.82801056637681e+00dB,-1.79995590510561e+02°)
2.34422881531991e+03	(-1.82801056255921e+00dB,-1.79995690882797e+02°)
2.39883291901947e+03	(-1.82801055891344e+00dB,-1.79995788970284e+02°)
2.45470891568501e+03	(-1.82801055543175e+00dB,-1.79995884825040e+02°)
2.51188643150956e+03	(-1.82801055210676e+00dB,-1.79995978497749e+02°)
2.57039578276885e+03	(-1.82801054893141e+00dB,-1.79996070038427e+02°)
2.63026799189536e+03	(-1.82801054589900e+00dB,-1.79996159495282e+02°)
2.69153480392690e+03	(-1.82801054300305e+00dB,-1.79996246915821e+02°)
2.75422870333815e+03	(-1.82801054023745e+00dB,-1.79996332346425e+02°)
2.81838293126443e+03	(-1.82801053759633e+00dB,-1.79996415832385e+02°)
2.88403150312658e+03	(-1.82801053507407e+00dB,-1.79996497417921e+02°)
2.95120922666636e+03	(-1.82801053266531e+00dB,-1.79996577146482e+02°)
3.01995172040199e+03	(-1.82801053036499e+00dB,-1.79996655060052e+02°)
3.09029543251357e+03	(-1.82801052816820e+00dB,-1.79996731200341e+02°)
3.16227766016836e+03	(-1.82801052607027e+00dB,-1.79996805607291e+02°)
3.23593656929626e+03	(-1.82801052406677e+00dB,-1.79996878320435e+02°)
3.31131121482589e+03	(-1.82801052215343e+00dB,-1.79996949378566e+02°)
3.38844156139200e+03	(-1.82801052032623e+00dB,-1.79997018819228e+02°)
3.46736850452529e+03	(-1.82801051858124e+00dB,-1.79997086679179e+02°)
3.54813389233573e+03	(-1.82801051691480e+00dB,-1.79997152994503e+02°)
3.63078054770099e+03	(-1.82801051532337e+00dB,-1.79997217800189e+02°)
3.71535229097170e+03	(-1.82801051380355e+00dB,-1.79997281130864e+02°)
3.80189396320558e+03	(-1.82801051235215e+00dB,-1.79997343019917e+02°)
3.89045144994278e+03	(-1.82801051096606e+00dB,-1.79997403500061e+02°)
3.98107170553494e+03	(-1.82801050964237e+00dB,-1.79997462603705e+02°)
4.07380277804110e+03	(-1.82801050837824e+00dB,-1.79997520361905e+02°)
4.16869383470332e+03	(-1.82801050717101e+00dB,-1.79997576805271e+02°)
4.26579518801589e+03	(-1.82801050601811e+00dB,-1.79997631963991e+02°)
4.36515832240162e+03	(-1.82801050491709e+00dB,-1.79997685866951e+02°)
4.46683592150960e+03	(-1.82801050386565e+00dB,-1.79997738543183e+02°)
4.57088189614871e+03	(-1.82801050286153e+00dB,-1.79997790019919e+02°)
4.67735141287194e+03	(-1.82801050190257e+00dB,-1.79997840325461e+02°)
4.78630092322634e+03	(-1.82801050098681e+00dB,-1.79997889485630e+02°)
4.89778819368442e+03	(-1.82801050011225e+00dB,-1.79997937526816e+02°)
5.01187233627268e+03	(-1.82801049927704e+00dB,-1.79997984474385e+02°)
5.12861383991361e+03	(-1.82801049847944e+00dB,-1.79998030353231e+02°)
5.24807460249768e+03	(-1.82801049771774e+00dB,-1.79998075188149e+02°)
5.37031796370248e+03	(-1.82801049699030e+00dB,-1.79998119002062e+02°)
5.49540873857620e+03	(-1.82801049629562e+00dB,-1.79998161818893e+02°)
5.62341325190344e+03	(-1.82801049563220e+00dB,-1.79998203660900e+02°)
5.75439937337152e+03	(-1.82801049499863e+00dB,-1.79998244550655e+02°)
5.88843655355584e+03	(-1.82801049439359e+00dB,-1.79998284509448e+02°)
6.02559586074353e+03	(-1.82801049381576e+00dB,-1.79998323558909e+02°)
6.16595001861477e+03	(-1.82801049326396e+00dB,-1.79998361719411e+02°)
6.30957344480188e+03	(-1.82801049273696e+00dB,-1.79998399011158e+02°)
6.45654229034650e+03	(-1.82801049223372e+00dB,-1.79998435454192e+02°)
6.60693448007590e+03	(-1.82801049175313e+00dB,-1.79998471067515e+02°)
6.76082975391976e+03	(-1.82801049129414e+00dB,-1.79998505870350e+02°)
6.91830970918931e+03	(-1.82801049085582e+00dB,-1.79998539880724e+02°)
7.07945784384132e+03	(-1.82801049043723e+00dB,-1.79998573117263e+02°)
7.24435960074984e+03	(-1.82801049003749e+00dB,-1.79998605597061e+02°)
7.41310241300911e+03	(-1.82801048965573e+00dB,-1.79998637337299e+02°)
7.58577575029177e+03	(-1.82801048929115e+00dB,-1.79998668355430e+02°)
7.76247116628685e+03	(-1.82801048894298e+00dB,-1.79998698667409e+02°)
7.94328234724275e+03	(-1.82801048861047e+00dB,-1.79998728289483e+02°)
8.12830516164092e+03	(-1.82801048829294e+00dB,-1.79998757237132e+02°)
8.31763771102664e+03	(-1.82801048798970e+00dB,-1.79998785525434e+02°)
8.51138038202369e+03	(-1.82801048770010e+00dB,-1.79998813170504e+02°)
8.70963589956073e+03	(-1.82801048742354e+00dB,-1.79998840185933e+02°)
8.91250938133738e+03	(-1.82801048715944e+00dB,-1.79998866586721e+02°)
9.12010839355902e+03	(-1.82801048690721e+00dB,-1.79998892386073e+02°)
9.33254300796983e+03	(-1.82801048666633e+00dB,-1.79998917598625e+02°)
9.54992586021428e+03	(-1.82801048643630e+00dB,-1.79998942237233e+02°)
9.77237220955802e+03	(-1.82801048621663e+00dB,-1.79998966314770e+02°)
9.99999999999991e+03	(-1.82801048600682e+00dB,-1.79998989844844e+02°)
1.02329299228075e+04	(-1.82801048580648e+00dB,-1.79999012838242e+02°)
1.04712854805089e+04	(-1.82801048561514e+00dB,-1.79999035308641e+02°)
1.07151930523760e+04	(-1.82801048543242e+00dB,-1.79999057267981e+02°)
1.09647819614318e+04	(-1.82801048525792e+00dB,-1.79999078727184e+02°)
1.12201845430195e+04	(-1.82801048509128e+00dB,-1.79999099697944e+02°)
1.14815362149687e+04	(-1.82801048493214e+00dB,-1.79999120191310e+02°)
1.17489755493952e+04	(-1.82801048478016e+00dB,-1.79999140218044e+02°)
1.20226443461740e+04	(-1.82801048463501e+00dB,-1.79999159788633e+02°)
1.23026877081237e+04	(-1.82801048449642e+00dB,-1.79999178914718e+02°)
1.25892541179416e+04	(-1.82801048436404e+00dB,-1.79999197604823e+02°)
1.28824955169312e+04	(-1.82801048423763e+00dB,-1.79999215869708e+02°)
1.31825673855640e+04	(-1.82801048411689e+00dB,-1.79999233718811e+02°)
1.34896288259164e+04	(-1.82801048400161e+00dB,-1.79999251161323e+02°)
1.38038426460287e+04	(-1.82801048389151e+00dB,-1.79999268206548e+02°)
1.41253754462274e+04	(-1.82801048378637e+00dB,-1.79999284864271e+02°)
1.44543977074591e+04	(-1.82801048368595e+00dB,-1.79999301142973e+02°)
1.47910838816819e+04	(-1.82801048359006e+00dB,-1.79999317050910e+02°)
1.51356124843619e+04	(-1.82801048349848e+00dB,-1.79999332596832e+02°)
1.54881661891247e+04	(-1.82801048341102e+00dB,-1.79999347788558e+02°)
1.58489319246110e+04	(-1.82801048332752e+00dB,-1.79999362635126e+02°)
1.62181009735891e+04	(-1.82801048324775e+00dB,-1.79999377143227e+02°)
1.65958690743755e+04	(-1.82801048317157e+00dB,-1.79999391320776e+02°)
1.69824365246173e+04	(-1.82801048309882e+00dB,-1.79999405176209e+02°)
1.73780082874936e+04	(-1.82801048302937e+00dB,-1.79999418716340e+02°)
1.77827941003891e+04	(-1.82801048296302e+00dB,-1.79999431947082e+02°)
1.81970085860997e+04	(-1.82801048289966e+00dB,-1.79999444878448e+02°)
1.86208713666285e+04	(-1.82801048283915e+00dB,-1.79999457514560e+02°)
1.90546071796323e+04	(-1.82801048278137e+00dB,-1.79999469862935e+02°)
1.94984459975803e+04	(-1.82801048272621e+00dB,-1.79999481930207e+02°)
1.99526231496886e+04	(-1.82801048267351e+00dB,-1.79999493722839e+02°)
2.04173794466951e+04	(-1.82801048262317e+00dB,-1.79999505247132e+02°)
2.08929613085402e+04	(-1.82801048257510e+00dB,-1.79999516509230e+02°)
2.13796208950221e+04	(-1.82801048252922e+00dB,-1.79999527513688e+02°)
2.18776162394953e+04	(-1.82801048248537e+00dB,-1.79999538269911e+02°)
2.23872113856832e+04	(-1.82801048244351e+00dB,-1.79999548779299e+02°)
2.29086765276775e+04	(-1.82801048240355e+00dB,-1.79999559050960e+02°)
2.34422881531990e+04	(-1.82801048236538e+00dB,-1.79999569088148e+02°)
2.39883291901947e+04	(-1.82801048232892e+00dB,-1.79999578896835e+02°)
2.45470891568501e+04	(-1.82801048229410e+00dB,-1.79999588482141e+02°)
2.51188643150956e+04	(-1.82801048226085e+00dB,-1.79999597849770e+02°)
2.57039578276884e+04	(-1.82801048222910e+00dB,-1.79999607003865e+02°)
2.63026799189536e+04	(-1.82801048219876e+00dB,-1.79999615949872e+02°)
2.69153480392689e+04	(-1.82801048216981e+00dB,-1.79999624690971e+02°)
2.75422870333814e+04	(-1.82801048214215e+00dB,-1.79999633235219e+02°)
2.81838293126443e+04	(-1.82801048211574e+00dB,-1.79999641582699e+02°)
2.88403150312658e+04	(-1.82801048209052e+00dB,-1.79999649741235e+02°)
2.95120922666636e+04	(-1.82801048206643e+00dB,-1.79999657714252e+02°)
3.01995172040199e+04	(-1.82801048204342e+00dB,-1.79999665506493e+02°)
