Freq.	V(vd)	V(vtest_in)	I(V4)
5.12861383991364e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.24807460249772e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.37031796370252e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.49540873857623e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.62341325190348e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.75439937337156e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.88843655355588e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
6.02559586074357e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
6.16595001861481e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
6.30957344480192e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
6.45654229034654e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
6.60693448007595e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
6.76082975391980e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
6.91830970918935e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
7.07945784384136e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
7.24435960074988e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
7.41310241300916e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
7.58577575029182e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
7.76247116628690e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
7.94328234724279e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
8.12830516164097e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
8.31763771102669e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
8.51138038202374e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
8.70963589956078e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
8.91250938133743e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
9.12010839355907e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
9.33254300796988e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
9.54992586021433e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
9.77237220955808e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
9.99999999999997e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.02329299228075e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.04712854805090e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.07151930523760e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.09647819614318e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.12201845430196e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.14815362149688e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.17489755493953e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.20226443461741e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.23026877081238e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.25892541179416e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.28824955169313e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.31825673855640e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.34896288259165e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.38038426460288e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.41253754462275e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.44543977074592e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.47910838816820e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.51356124843620e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.54881661891248e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.58489319246111e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.62181009735892e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.65958690743755e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.69824365246174e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.73780082874937e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.77827941003892e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.81970085860998e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.86208713666286e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.90546071796324e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.94984459975804e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.99526231496887e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.04173794466952e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.08929613085403e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.13796208950222e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.18776162394954e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.23872113856833e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.29086765276776e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.34422881531991e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.39883291901948e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.45470891568502e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.51188643150957e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.57039578276885e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.63026799189537e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.69153480392690e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.75422870333816e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.81838293126444e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.88403150312659e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.95120922666637e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.01995172040200e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.09029543251358e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.16227766016837e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.23593656929627e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.31131121482590e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.38844156139201e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.46736850452530e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.54813389233574e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.63078054770100e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.71535229097171e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.80189396320559e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.89045144994279e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.98107170553495e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.07380277804111e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.16869383470333e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.26579518801591e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.36515832240164e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.46683592150961e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.57088189614873e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.67735141287196e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.78630092322636e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.89778819368444e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.01187233627270e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.12861383991362e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.24807460249770e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.37031796370250e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.49540873857622e+02	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
